Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0,0,0,1,0,2,2,0,0,Feb,1,1,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,64,0,1,0,0,Feb,2,2,1,2,Returning_Visitor,FALSE,FALSE
0,-1,0,-1,1,-1,2,2,0,0,Feb,4,1,9,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,2666666667,5,14,0,0,Feb,3,2,2,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,10,6275,2,5,0,0,Feb,3,3,1,4,Returning_Visitor,TRUE,FALSE
0,0,0,0,19,1542166667,15789474,24561404,0,0,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,-1,0,-1,1,-1,2,2,0,4,Feb,2,4,3,3,Returning_Visitor,FALSE,FALSE
1,-1,0,-1,1,-1,2,2,0,0,Feb,1,2,1,5,Returning_Visitor,TRUE,FALSE
0,0,0,0,2,37,0,1,0,8,Feb,2,2,2,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,738,0,22222222,0,4,Feb,2,4,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,395,0,66666667,0,0,Feb,1,1,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,16,40775,1875,25833333,0,4,Feb,1,1,4,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,7,2805,0,28571429,0,0,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,98,0,66666667,0,0,Feb,2,5,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,68,0,1,0,0,Feb,3,2,3,3,Returning_Visitor,FALSE,FALSE
2,53,0,0,23,1668285119,8333333,16312636,0,0,Feb,1,1,9,3,Returning_Visitor,FALSE,FALSE
0,-1,0,-1,1,-1,2,2,0,0,Feb,1,1,4,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,13,3349666667,0,7692308,0,0,Feb,1,1,1,4,Returning_Visitor,TRUE,FALSE
0,0,0,0,2,32,0,1,0,0,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,20,2981166667,0,1,0,0,Feb,2,4,4,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,8,1361666667,0,8333333,0,1,Feb,2,2,5,1,Returning_Visitor,TRUE,FALSE
0,-1,0,-1,1,-1,2,2,0,0,Feb,3,3,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,105,0,33333333,0,0,Feb,3,2,1,5,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,15,0,1,0,8,Feb,2,4,1,3,Returning_Visitor,FALSE,FALSE
0,-1,0,-1,1,-1,2,2,0,0,Feb,2,2,4,1,Returning_Visitor,TRUE,FALSE
0,0,0,0,5,156,0,4,0,0,Feb,1,1,9,3,Returning_Visitor,FALSE,FALSE
4,646,0,0,32,1135444444,2857143,952381,0,0,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,76,5,1,0,0,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,63,0,5,0,2,Feb,2,6,1,3,Returning_Visitor,FALSE,FALSE
1,6,1,0,45,158275,43478261,50821256,5417976426,4,Feb,3,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,35,0,1,0,0,Feb,1,1,6,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,78,0,66666667,0,0,Feb,1,2,6,6,Returning_Visitor,TRUE,FALSE
0,0,0,0,8,2095,0,25,0,0,Feb,2,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,10,1836666667,4,8,0,0,Feb,1,1,3,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,14,3805,14285714,28571429,0,0,Feb,2,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,52,2086242857,15384615,20352564,0,0,Feb,2,2,7,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,8,388,25,5625,0,0,Feb,3,2,1,4,Returning_Visitor,TRUE,FALSE
2,18,0,0,5,298,0,28571429,0,8,Feb,2,2,8,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,7,63,28571429,71428571,0,6,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,9,482,0,22222222,0,0,Feb,2,5,1,6,Returning_Visitor,FALSE,FALSE
1,9,0,0,46,4084393939,0,1794872,0,0,Feb,2,2,8,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,22,0,66666667,0,6,Feb,1,1,3,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,15,3101666667,0,6666667,0,0,Feb,1,1,4,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,34,0,5,0,4,Feb,3,2,2,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,88,0,5,0,0,Feb,4,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,22,62225,3030303,6060606,0,2,Feb,2,5,1,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,14,2224,17142857,57142857,0,0,Feb,1,1,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,80,66666667,133333333,0,2,Feb,3,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,11,8008333333,0,3636364,0,0,Feb,3,2,1,3,Returning_Visitor,FALSE,FALSE
0,-1,0,-1,1,-1,2,2,0,6,Feb,2,2,3,2,Returning_Visitor,FALSE,FALSE
0,-1,0,-1,1,-1,2,2,0,0,Feb,1,1,3,4,Returning_Visitor,TRUE,FALSE
0,0,0,0,12,2651666667,11111111,26111111,0,2,Feb,3,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,29,0,1,0,1,Feb,2,4,4,2,Returning_Visitor,TRUE,FALSE
0,0,0,0,4,160,0,75,0,0,Feb,4,2,2,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,1356666667,5,25,0,4,Feb,3,3,1,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,2,2,0,2,Feb,2,4,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,2,2,0,6,Feb,3,2,3,3,Returning_Visitor,FALSE,FALSE
4,56,2,120,36,9987416667,0,14736467,1944707913,2,Feb,2,2,4,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,104,0,5,0,4,Feb,2,6,6,3,Returning_Visitor,FALSE,FALSE
2,16,0,0,16,3816865079,11764706,46568627,0,6,Feb,2,4,2,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,169,0,16666667,0,4,Feb,1,1,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,8,4008,5,120833333,0,0,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
12,2794166667,0,0,42,1553583333,9,19666667,3830849268,0,Feb,1,1,3,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,14,7065,0,7142857,0,0,Feb,2,2,5,4,Returning_Visitor,TRUE,FALSE
0,-1,0,-1,1,-1,2,2,0,0,Feb,2,2,4,3,Returning_Visitor,FALSE,FALSE
3,8783333333,0,0,27,7983333333,0,12643678,229160357,8,Feb,2,2,3,1,Returning_Visitor,FALSE,TRUE
4,44,0,0,90,6951972222,2150538,15013034,0,0,Feb,4,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,2,2,0,6,Feb,2,2,5,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,18,902,0,7407407,0,0,Feb,2,7,2,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,2,2,0,2,Feb,3,2,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,2,2,0,0,Feb,2,6,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,20,1973777778,25,525,0,0,Feb,2,6,6,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,43,0,1,0,4,Feb,2,2,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,8,4266666667,0,125,0,0,Feb,2,4,3,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,135,0,66666667,0,0,Feb,2,4,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,16,5883333333,0,25,0,0,Feb,2,4,1,1,Returning_Visitor,FALSE,FALSE
